addrCd,csForCnt,csNatCnt,gungu,resNm,rnum,sido,yyymm
0,5628,32681,강남구,선릉·정릉,15,서울특별시,201209
0,38382,394611,송파구,롯데월드,16,서울특별시,201209
0,57349,144268,종로구,창덕궁,1,서울특별시,201210
0,2457,29285,종로구,운현궁,2,서울특별시,201210
0,138532,520733,종로구,경복궁,3,서울특별시,201210
0,4008,125906,종로구,창경궁,4,서울특별시,201210
0,16198,21956,종로구,종묘,5,서울특별시,201210
0,20894,265513,용산구,국립중앙박물관,6,서울특별시,201210
0,4047,125261,종로구,서울역사박물관,7,서울특별시,201210
0,14512,143940,중구,덕수궁,8,서울특별시,201210
0,0,147860,중구,서울시립미술관 본관,9,서울특별시,201210
0,78,19554,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201210
0,5860,35768,서대문구,서대문형무소역사관,11,서울특별시,201210
0,0,25009,서대문구,서대문자연사박물관,12,서울특별시,201210
0,28799,12870,마포구,트릭아이미술관,13,서울특별시,201210
0,318,7365,서초구,헌릉ㆍ인릉,14,서울특별시,201210
0,44389,500556,송파구,롯데월드,15,서울특별시,201210
0,45427,89575,종로구,창덕궁,1,서울특별시,201211
0,1082,19029,종로구,운현궁,2,서울특별시,201211
0,113319,192476,종로구,경복궁,3,서울특별시,201211
0,3748,52830,종로구,창경궁,4,서울특별시,201211
0,12797,15881,종로구,종묘,5,서울특별시,201211
0,16857,231618,용산구,국립중앙박물관,6,서울특별시,201211
0,3537,96291,종로구,서울역사박물관,7,서울특별시,201211
0,13791,97241,중구,덕수궁,8,서울특별시,201211
0,0,120222,중구,서울시립미술관 본관,9,서울특별시,201211
0,21,4841,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201211
0,5364,21556,서대문구,서대문형무소역사관,11,서울특별시,201211
0,0,31214,서대문구,서대문자연사박물관,12,서울특별시,201211
0,13172,6319,마포구,트릭아이미술관,13,서울특별시,201211
0,139,2561,서초구,헌릉ㆍ인릉,14,서울특별시,201211
0,40071,562680,송파구,롯데월드,15,서울특별시,201211
0,27814,28061,종로구,창덕궁,1,서울특별시,201212
0,546,5978,종로구,운현궁,2,서울특별시,201212
0,105370,133012,종로구,경복궁,3,서울특별시,201212
0,1451,15722,종로구,창경궁,4,서울특별시,201212
0,8817,8068,종로구,종묘,5,서울특별시,201212
0,13033,227077,용산구,국립중앙박물관,6,서울특별시,201212
0,1138,78179,종로구,서울역사박물관,7,서울특별시,201212
0,11151,44855,중구,덕수궁,8,서울특별시,201212
0,0,213467,중구,서울시립미술관 본관,9,서울특별시,201212
0,15,1252,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201212
0,6625,14090,서대문구,서대문형무소역사관,11,서울특별시,201212
0,0,18881,서대문구,서대문자연사박물관,12,서울특별시,201212
0,24492,9167,마포구,트릭아이미술관,13,서울특별시,201212
0,62,860,서초구,헌릉ㆍ인릉,14,서울특별시,201212
0,66868,670056,송파구,롯데월드,15,서울특별시,201212
0,22253,30490,종로구,창덕궁,1,서울특별시,201301
0,82184,105724,종로구,경복궁,2,서울특별시,201301
0,1320,17562,종로구,창경궁,3,서울특별시,201301
0,7579,6996,종로구,종묘,4,서울특별시,201301
0,11276,233169,용산구,국립중앙박물관,5,서울특별시,201301
0,7555,46980,중구,덕수궁,6,서울특별시,201301
0,12,1290,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201301
0,0,14838,서대문구,서대문형무소역사관,8,서울특별시,201301
0,0,24092,서대문구,서대문자연사박물관,9,서울특별시,201301
0,20800,17191,마포구,트릭아이미술관,10,서울특별시,201301
0,64,813,서초구,헌릉ㆍ인릉,11,서울특별시,201301
0,1453,9132,강남구,선릉·정릉,12,서울특별시,201301
0,24859,36905,종로구,창덕궁,1,서울특별시,201302
0,92997,140253,종로구,경복궁,2,서울특별시,201302
0,1350,20990,종로구,창경궁,3,서울특별시,201302
0,8508,7747,종로구,종묘,4,서울특별시,201302
0,8571,192802,용산구,국립중앙박물관,5,서울특별시,201302
0,11506,46825,중구,덕수궁,6,서울특별시,201302
0,12,1494,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201302
0,0,9821,서대문구,서대문형무소역사관,8,서울특별시,201302
0,0,13630,서대문구,서대문자연사박물관,9,서울특별시,201302
0,23813,17144,마포구,트릭아이미술관,10,서울특별시,201302
0,68,1178,서초구,헌릉ㆍ인릉,11,서울특별시,201302
0,1592,9088,강남구,선릉·정릉,12,서울특별시,201302
0,43988,54054,종로구,창덕궁,1,서울특별시,201303
0,119793,179912,종로구,경복궁,2,서울특별시,201303
0,3100,36389,종로구,창경궁,3,서울특별시,201303
0,15635,13138,종로구,종묘,4,서울특별시,201303
0,10418,196436,용산구,국립중앙박물관,5,서울특별시,201303
0,12102,77718,중구,덕수궁,6,서울특별시,201303
0,25,4849,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201303
0,0,24100,서대문구,서대문형무소역사관,8,서울특별시,201303
0,0,18866,서대문구,서대문자연사박물관,9,서울특별시,201303
0,27340,9114,마포구,트릭아이미술관,10,서울특별시,201303
0,133,3030,서초구,헌릉ㆍ인릉,11,서울특별시,201303
0,2463,24267,강남구,선릉·정릉,12,서울특별시,201303
0,40807,101508,종로구,창덕궁,1,서울특별시,201304
0,130082,276043,종로구,경복궁,2,서울특별시,201304
0,2902,62810,종로구,창경궁,3,서울특별시,201304
0,10915,15444,종로구,종묘,4,서울특별시,201304
0,10762,226614,용산구,국립중앙박물관,5,서울특별시,201304
0,12512,96402,중구,덕수궁,6,서울특별시,201304
0,53,2995,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201304
0,4163,60970,서대문구,서대문형무소역사관,8,서울특별시,201304
0,0,26787,서대문구,서대문자연사박물관,9,서울특별시,201304
0,28487,5900,마포구,트릭아이미술관,10,서울특별시,201304
0,95,3146,서초구,헌릉ㆍ인릉,11,서울특별시,201304
0,3124,35449,강남구,선릉·정릉,12,서울특별시,201304
0,99693,265795,종로구,창덕궁,1,서울특별시,201305
0,82579,522279,종로구,경복궁,2,서울특별시,201305
0,2104,119635,종로구,창경궁,3,서울특별시,201305
0,10878,53760,종로구,종묘,4,서울특별시,201305
0,12071,296370,용산구,국립중앙박물관,5,서울특별시,201305
0,10535,103001,중구,덕수궁,6,서울특별시,201305
0,94,6618,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201305
0,5164,80636,서대문구,서대문형무소역사관,8,서울특별시,201305
0,0,21395,서대문구,서대문자연사박물관,9,서울특별시,201305
0,18537,10831,마포구,트릭아이미술관,10,서울특별시,201305
0,109,5967,서초구,헌릉ㆍ인릉,11,서울특별시,201305
0,2771,47665,강남구,선릉·정릉,12,서울특별시,201305
